,Comment,Website,Sentiment,Company
0,I think you don’t follow the latest trends. I live in a Tier 2 city and have had fiber connectivity here for the last 5 years. Now only villages are left to be connected.,youtube,1.0,Jio
1,It would be great if they offered an unlimited 5G plan.,youtube,-1.0,Jio
2,"5G is not fully ready, but it’s ready to be fast.  I haven't received it in my area yet",youtube,-1.0,Jio
3,I left my 30Mbps Jio Fiber WiFi to use Jio 5G.,youtube,1.0,Jio
4,We will definitely have a stable 5G experience next year in 2024.,youtube,1.0,Jio
5,"The Kolkata Book Fair was going on until last Sunday, and I couldn’t get any speeds with Jio’s 4G connection at that place. But thanks to 5G, I was able to access the internet because that place was packed with people, so 4G was just useless there  while 5G was running at over 500Mbps.",youtube,1.0,Jio
6,"n Bangalore’s IT hub, Whitefield, 5G is not available everywhere, only in some patches.""",youtube,-1.0,Jio
7,"I'm using Mi 10i, and I'm unable to use Jio True 5G because Jio says my device is not compatible. And Mi 10i comes with n77 and n78 bands.",youtube,-1.0,Jio
8,"Try putting your SIM in a supported device. Once your SIM gets 5G in that phone, put the SIM back in your phone. Set network preference to 5G in network settings and restart the phone to see if your phone gets a 5G signal. If it still doesn’t get 5G, go to developer settings and in the 5G section, select the SA/NSA option, and restart.",youtube,1.0,Jio
9,Why does the 5G network turn into 4G after a call and not switch back to 5G unless I restart my mobile? VoNR is available for my mobile.,youtube,1.0,Jio
10,"Turn off and on flight mode, and 5G will come back.",youtube,1.0,Jio
11,"Brother, I’m switching to Jio, Airtel is really frustrating",youtube,-1.0,Jio
12,"Bro, understand the point after watching the whole video. I get 5G in my area too, but sometimes it suddenly switches to 4G because it’s not stable yet, and it will take time, and we also need to be patient. I asked because I saw the option for 5G/4G/2G i",youtube,-1.0,Jio
13,"Wrongly said, brother... it's even less than 3G.",youtube,-1.0,Jio
14,"My BSNL 3G is faster than my Jio 4G, now I don't recharge Jio, it's a useless SIM. BSNL 3G gives 4 to 5 Mbps speed in downloading",youtube,-1.0,Jio
15,"Yes brother, we got tricked ",youtube,-1.0,Jio
16,"In Jio, the speed is coming at 100 Kbps less for the last 2 days.",youtube,-1.0,Jio
17,"Brother, I daily use 500 Mbps minimum. Uploading is indeed less.""",youtube,-1.0,Jio
18,"But brother, it's the same for me ",youtube,-1.0,Jio
19,"I downloaded GTA 5 five times, Jio 5G does it in 2 hours. It hasn't slowed down because of me, has it?""",youtube,1.0,Jio
20,"It's a capital city, there's a Jio tower in front of my house, and I even went to the Jio shop nearby to complain about BSNL. They didn't listen, said they will fix it, Madam, it's a network issue, but they were clearly lying.",youtube,-1.0,Jio
21,"It works well here.""",youtube,1.0,Jio
22,Mine is good,youtube,1.0,Jio
23,"If people are getting 500-1000 Mbps speed for Rs 500 for 3 months, then they're still unhappy.""",youtube,1.0,Jio
24,"Whoever is unhappy, go get a 1000 MBPS leased line.",youtube,1.0,Jio
25,"@ROHITSINGH-lf4me that's true, but the point is if you're claiming 5G, you should also provide 5G service because people are paying for that.",youtube,1.0,Jio
26,Jio is a useless SIM.,youtube,-1.0,Jio
27,@dbtechnicala2z it's even less than 2G ,youtube,-1.0,Jio
