,Comment,Website,Sentiment,company
0,"If 5G becomes unlimited in the future, it will be useful. If speed is provided according to the price, then it should be less",youtube,1,Vodafone
1,They might bring unlimited internet plans with around ₹999/- per month charges or so! The price might be much higher than that too... but they may bring unlimited plans!,youtube,1,Vodafone
2,I think you don’t follow the latest trends. I live in a Tier 2 city and have had fiber connectivity here for the last 5 years. Now only villages are left to be connected.,youtube,1,Vodafone
3,"5G is not fully ready, but it’s ready to be fast.  I haven't received it in my area yet",youtube,-1,Vodafone
4,We will definitely have a stable 5G experience next year in 2024.,youtube,1,Vodafone
5,"n Bangalore’s IT hub, Whitefield, 5G is not available everywhere, only in some patches.""",youtube,-1,Vodafone
6,"Bro, understand the point after watching the whole video. I get 5G in my area too, but sometimes it suddenly switches to 4G because it’s not stable yet, and it will take time, and we also need to be patient. I asked because I saw the option for 5G/4G/2G in Force LTE, but not for 5G only, so how did Utsav ji get that? And mind you, if you do this, you won’t be able to make calls because VoNR isn’t available, and every call is made via VoLTE, meaning 4G, as Utsav ji mentioned.",youtube,1,Vodafone
7,Why does the 5G network turn into 4G after a call and not switch back to 5G unless I restart my mobile? VoNR is available for my mobile.,youtube,1,Vodafone
8,"Turn off and on flight mode, and 5G will come back.",youtube,1,Vodafone
9,"@ROHITSINGH-lf4me that's true, but the point is if you're claiming 5G, you should also provide 5G service because people are paying for that.",youtube,1,Vodafone
10,"Seriously, my VI's 4G is better than that.",youtube,1,Vodafone
11,"Fiber is the best option, bro.""",youtube,-1,Vodafone
12,"Vi is the best option for 4G users._x000D_
Cheap ones cry more often BAD.",youtube,1,Vodafone
13,"Yeah, very true. It was giving speed initially, but now...BAD",youtube,-1,Vodafone
14,Companies won’t do anything; report it on the TRAI grievance portal.,youtube,1,Vodafone
15,"Absolutely right, brother. Vi is the best network with 4G, and it provides very good internet facilities and offers too.""",youtube,1,Vodafone
16,I'm a Vi user.. Vi 4G speed is the best... it beats Jio.,youtube,1,Vodafone
17,"I knew there would be a video on this topic... Really, even 5G is in bad shape now, like 4G... What can these companies do.",youtube,-1,Vodafone
18,Switch to Vi.,youtube,1,Vodafone
19,"Yes, this accusation is true; the network slows down after data is consumed.",youtube,1,Vodafone
20,"VI has 4G, but the network is weak.",youtube,-1,Vodafone
21,"BSNL has 3G, but it gives much better speed than Airtel or VI, around 6 to 8 Mbps.""",youtube,-1,Vodafone
22,"Bro, use the ""net master"" application to get unlimited data.",youtube,1,Vodafone
23,"I am a VI user, enjoying 4G unlimited data from 12 AM to 6 AM.""",youtube,1,Vodafone
24,I have both Vi and Jio.,youtube,1,Vodafone
25," have 1 Vi and 3 Airtel SIMs; one phone is 5G, and Airtel’s 5G works great, fully unlimited. Now I watch all videos in 4K, 2K, or 1080p",youtube,1,Vodafone
26,"Bro, I just bought a 5G phone and I'm planning to port from Vi to Airtel or Jio. I didn't want to, but what can I do? I'm from West Benga",youtube,1,Vodafone
27,So good. V. I. SIM is good; I like it.,youtube,1,Vodafone
28,How does Airtel unlimited work? My 1.5 GB data ends and the internet stops.,youtube,1,Vodafone
29,"t works in airplane mode or you can change the APN; there won't be any problems, but it will be off from 2 AM to 6 AM.",youtube,1,Vodafone
30,Vi is the worst SIM in the world.,youtube,-1,Vodafone
31,"350 Mbps speed and 4GB pack. Brother, if you do a speed test 4-5 times, the data will be over. How can you use it? Max to max, watch 2 videos and the pack is over.",youtube,-1,Vodafone
32,"Is Jio 5G unlimited like Airtel, or does the data get used up? And where are you from, Pune or Delhi? Currently, 5G is only in these two places for Vi.",youtube,1,Vodafone
33,"Currently, data is being used, but it might change in some time, and I’m from Delhi.",youtube,-1,Vodafone
34,"But in Vi's unlimited plan, there’s unlimited data from midnight to morning, so I use it at night and Airtel during the day.",youtube,1,Vodafone
35,Vi will surely sink.,youtube,-1,Vodafone
36,"As per my opinion, Vi SIM needs to give unlimited data for 4G.",youtube,1,Vodafone
37,Vi 4G is better than Airtel and Jio 5G.,youtube,1,Vodafone
38,"Yes, it's true. The downloading and uploading speed of Vi 4G is the same as others' 5G",youtube,1,Vodafone
