ID,Name,TweetText,sentiment,Jio_label,Airtel_label,Vodafone_label,website
1056587549135712256,Nikhil Chawla,Ericsson and Jio showcases 5G use cases for India https://t.co/7kOXXkywg9 https://t.co/dMqLxuXXvg,-1,-1,,,twitter
1056712080559165440,ravi raj mishra,"I liked a @YouTube video https://t.co/C3vWq5Kg2H Tech Talks #645 - Jio 5G Smartphone? Xiaomi $10,000 Prize, Facebook Accounts Delete,",-1,-1,,,twitter
1062657544814915585,Shakti Singh,Jio 5G tovar https://t.co/FvPYasbJES,-1,-1,,,twitter
1064396268305170434,BTVI Live,Sushil Choksey: Expect Reduction In RIL's Debt By FY20Expect Investment Cycle In Jio To End In FY19Unless #Jio Bids Agressively For 5G Spectrum Its Investment Cycle Is Mostly Done@stockgurupiyush https://t.co/coM50AxwSB,-1,-1,,,twitter
1070195477788983296,Being Bhartiya 🇮🇳🕉,Even #JIO 5g cannot beat them😂 https://t.co/iKB9KGGFfv,-1,-1,,,twitter
1074565183303872513,Punit Shukla,#Jio #sajjanconvicted #jio4g #internet @JioCare @reliancejio Today's Jio speed like 5G-8G.@reliancegroup #India https://t.co/bGjsDMALJM,-1,-1,,,twitter
1074760768019677185,Utsab Chowdhury,"Jio 5G Launch, Bsnl 4G sim, Aircel SC, Redmi 7 ,iPhone Screen ,PUBG Vikendi Map, Pixel 3 Lite: https://t.co/ci4geCUwHC via @YouTube",-1,-1,,,twitter
1075368547621122048,Techno Neil 2.0,Jio 5G Launch Date Latest Announcement | जिओ यूजर्स को मिला बड़ा तोहफाhttps://t.co/y5s0XzfuIa https://t.co/wWqoYVUZwd,-1,-1,,,twitter
1077775087065939968,Alankar singh,"Exclusive : #prabhas and #Aamirkhan will soon come for an jio 5g AdIt will be a pan India adDubbed in multiple language including #Malayalam, Kannada , #tamil , #telugu. And hindi https://t.co/OmwviXIPr7",-1,-1,,,twitter
1078702233884205057,Gaurav Chaudhary,"Tech Talks #698 - Poco F2 Leaks, Folding iPhone, Jio Happy New Year offer, Vivo Nex 5G, Moto P40 https://t.co/WRDcfObLXq via @YouTubeIndia",-1,-1,,,twitter
1080319496924028928,Surendra Pareek Jaliya,This is ur real speed jio.  देश मे 5G आने वाला है और JIO 4G से 2G पर जा रहा है #shame_on_jio #digitalindia @JioCare  @Airtel_Presence https://t.co/hiGVFnHjhR,-1,-1,-1,,twitter
1080439549514391552,Xtreme Droid,5G Launch Date in India | Jio 5G India 2019: https://t.co/lEdJuLbm6o via @YouTube,-1,-1,,,twitter
1085209071756734464,Gaurav Chaudhary,"Tech Talks #713 - PUBG Zombie Map, Jio 4G Speed, Samsung S10X 5G, LG V40 ThinQ, Xiaomi Cooker https://t.co/iBDJcMUcCp via @YouTubeIndia",-1,-1,,,twitter
1086144346271797255,DeshGujarat,"Jio is committed to create a fully digital Gujarat and best digitally connected state in Gujarat. Jio's network is fully 5G ready. We can make our beloved Gujarat number one in nurturing startups, financial, agri, health technology.... building smart villages: Mukesh Ambani https://t.co/hIh1O89Txd",1,1,,,twitter
1093135216661618694,Techno Ruhez,"Jiophone 3,Jio 5G Phone,Xiaomi Dual Punch-Hole Display,Realme Color OS 6,Samsung S-Pen Camera-#758https://t.co/vD18dDGLin https://t.co/ZiWLlJ60VO",-1,-1,,,twitter
1100708374478372864,The Times Of India,"Sunil Bharti Mittal on number game with Reliance Jio, data tariffs, challenges of 5G and more https://t.co/VaS5aLS9Et via @gadgetsnow https://t.co/QFjCYP2c9r",-1,-1,,,twitter
1104420403970228224,Jaagte Raho,Jio 5g coming soon #AkashAmbani #AkashShlokaWedding https://t.co/hBCRWHgzrz,-1,-1,,,twitter
1105869501701087232,🙏🙏हर हर महादेव जय श्रीराम मेरा भारत महान,सबके छक्के छुड़ाने बहुत जल्द आ रहा है Jio का 5G स्मार्टफोन इसके फीचर्स जानकर दंग रह जाओगे https://t.co/Mnw0CNIjp9,-1,-1,,,twitter
1106782142875553792,Jagbani,"#5G ਲਈ ਪੱਬਾਂ ਭਾਰ #Jio, #Airtel, #Vodafone - #Idea ਨੂੰ ਲੱਗੇਗਾ ਝਟਕਾ  https://t.co/BAODR0SDOd  @reliancejio @airtelindia @VodafoneIN @Idea https://t.co/xHZIGBbuZh",-1,-1,-1,-1,twitter
1108723525844492288,Techno Ruhez,"Realme 3 Pro Price,OPPO Reno 5G,Mi Band 4,Jio 1 Crore Subs Record,Redmi Y3 Launch,Qualcomm Audio#793https://t.co/XK5njVIU00 https://t.co/BMpVxHEo7X",-1,-1,,,twitter
1115230581040734208,Techno Ruhez,"Realme 3 Pro With Oneplus 6T Camera Sensor,Asus 5G Dual-Slider Phone,5G Unlimited Data,Jio E-Com#808https://t.co/jbYUnkNL4T https://t.co/C3jnGjmsTW",-1,-1,,,twitter
1117996061983789067,The Times Of India,"Reliance Jio crosses 300 million subscriber mark: 5G services, challenges ahead and more https://t.co/5u05grQUA0 via @gadgetsnow https://t.co/jPlEzSZ0fO",-1,-1,,,twitter
